Дата операции,Референс проводки,Приход,Расход
3/10/2022 12:17,CRD_5AE252,0,120
3/10/2022 10:08,C161003220689929,0,11680
3/10/2022 8:00,B011003220533613,0,25000
3/9/2022 21:45,CRD_8YA59W,0,7912.9
3/9/2022 20:30,CRD_7T83ZN,0,478
3/9/2022 19:15,CRD_85950R,0,2519.74
3/9/2022 18:00,CRD_72F6XS,0,120
3/9/2022 16:45,CRD_31A3BW,0,384.05
3/9/2022 15:30,CRD_3S99ET,0,200
3/9/2022 14:15,CRD_2YU43R,0,210
3/9/2022 13:00,CRD_1Y36KN,0,1700
3/9/2022 11:45,C020903220008115,0,14501.61
3/9/2022 10:30,C070903220080330,0,200
3/9/2022 9:15,OP1ED2239001Q8LF,0,50730
3/9/2022 8:00,OP1ED2239001OL1Z,169100,0
3/8/2022 20:00,CRD_7KR8X9,0,1500
3/8/2022 17:00,CRD_80M6X9,0,4499.25
3/8/2022 14:00,CRD_4NH60B,0,1010
3/8/2022 11:00,CRD_31E6H9,0,6800
3/8/2022 8:00,B010803220105746,6000,0
3/7/2022 19:15,CRD_54F3TZ,0,1848.79
3/7/2022 15:30,CRD_1XM793,0,200
3/7/2022 11:45,MOYB 07203000226,0,99
3/7/2022 8:00,C070703220051724,0,200
3/6/2022 18:00,CRD_23Y97R,0,2420
3/6/2022 13:00,CRD_8B33FU,0,199.2
3/6/2022 8:00,CRD_3TT0FU,0,195.49
3/5/2022 18:00,CRD_5529FC,0,12491
3/5/2022 13:00,CRD_4WB9RC,0,8497
3/5/2022 8:00,B010503220228429,0,20000
3/4/2022 20:30,CRD_8WX6KZ,0,634.22
3/4/2022 18:00,CRD_8T919Z,0,318
3/4/2022 15:30,CRD_7MU3WZ,0,1288
3/4/2022 13:00,CRD_5Y477Z,0,17084
3/4/2022 10:30,CRD_9M544N,0,2434.8
3/4/2022 8:00,A020403220000585,0,1000
3/3/2022 21:45,CRD_7EM0EE,0,279
3/3/2022 20:30,CRD_1010EK,0,1642.89
3/3/2022 19:15,CRD_7AU9MC,0,70
3/3/2022 18:00,CRD_5CE35A,0,150
3/3/2022 16:45,OP1ED2233001BGOX,0,35549.1
3/3/2022 15:30,OP1ED2233001BCCG,118497.01,0
3/3/2022 14:15,OP1ED2233001BGKY,0,522
3/3/2022 13:00,OP1ED2233001BCC6,1740,0
3/3/2022 11:45,MPL1_MJVSTXU0001,6164,0
3/3/2022 10:30,AHRED22330000002,0,1400000
3/3/2022 9:15,CASHIN223003,400000,0
3/3/2022 8:00,CASHIN223003,1000000,0
3/2/2022 20:30,CRD_9BY174,0,982.44
3/2/2022 18:00,CRD_2V13BZ,0,727
3/2/2022 15:30,CRD_8426U3,0,200
3/2/2022 13:00,C070203220100048,0,180
3/2/2022 10:30,C070203220100053,0,20
3/2/2022 8:00,MOYB 02203000039,0,9
3/1/2022 21:45,CRD_6U095K,0,244
3/1/2022 20:30,CRD_4B156F,0,140
3/1/2022 19:15,CRD_2S322T,0,1059.82
3/1/2022 18:00,CRD_44Y56F,0,2611.5
3/1/2022 16:45,CRD_2C08WK,0,3687
3/1/2022 15:30,C160103220384698,0,2250
3/1/2022 14:15,C020103220009942,0,36000
3/1/2022 13:00,C170103220109984,20000,0
3/1/2022 11:45,C020103220009942',0,36000
3/1/2022 10:30,A010103220079401,0,350
3/1/2022 9:15,B010103220047977,21645.9,0
3/1/2022 8:00,C020103220009942'',0,36000
2/28/2022 21:20,CRD_81K5C8,0,1600.63
2/28/2022 19:40,CRD_493598,0,248
2/28/2022 18:00,CRD_38M6W2,0,250
2/28/2022 16:20,CRD_146743,0,1046
2/28/2022 14:40,CRD_13R2F2,0,1143.8
2/28/2022 13:00,CRD_2908F7,0,200
2/28/2022 11:20,CRD_1E71U2,0,300
2/28/2022 9:40,PML0628AJLQ9C001,98.12,0
2/28/2022 8:00,C072802220102455,0,200
2/27/2022 15:30,CRD_1N17FS,0,348
2/27/2022 8:00,CRD_8F91UR,0,7670
2/26/2022 21:20,CRD_7EF2YF,0,570
2/26/2022 19:40,CRD_4VV8U8,0,865.04
2/26/2022 18:00,CRD_3XW6WE,0,1400
2/26/2022 16:20,CRD_11145K,0,863
2/26/2022 14:40,CRD_3YY8R9,0,799
2/26/2022 13:00,CRD_8VS3BK,0,192000
2/26/2022 11:20,C172602220180015,41500,0
2/26/2022 9:40,C172602220179589,150000,0
2/26/2022 8:00,CRD_8VS3BK',0,192000
